responseid,startdate,coop1,pass1,coop2,pass2,pass_prob,coop_mexotx,coop_mexoty,coop_meyotx,coop_meyoty,ddt_log_k,study,carit_correct,carit_go_correct,carit_nogo_correct,carit_rt,flanker_correct,flanker_error,flanker_slow,flanker_rt,q_gender,q_age,q_race,q_demrep,q_cash_choice,nfc,risk,trust,edu,income,wvs106_1,wvs108_1,wvs176_1,wvs250_1,bel2,bel2_5,urbanrural,urchild,q_income,q_maternal,q_household,q_neuro,q_anxious,q_exercise,q_sleep_1,q_screen_1,crt,bmi,Strategy
R_bEjozSDVSlsYic1,2/2/2022 20:57,77,0,97,0,1,17,26,71,32,0.5858315,Flanker,,,,,0.8687581,0.0942484,0.0369935,818.1966,2,58,1,5,1,2,4,5,4,5,7,7,7,5,1,98,2,3,1,2,3,2,4,1,7,10,0,22.86025,Other
R_cuuh8CZTDrdy2bv,2/3/2022 17:11,28,1,25,1,1,23,22,18,14,-1.789259,Flanker,,,,,0.8656428,0.0925,0.0418571,837.028,2,69,1,6,2,2,4,7,6,6,8,9,6,9,1,2,4,6,2,4,3,2,1,3,7,3,2,22.46272,Defect
R_3npTTSuvlHvGJuy,1/31/2022 16:01,9,1,99,1,1,34,1,38,6,-2.098049,Flanker,,,,,0.9333333,0.0333333,0.0333333,827.3834,2,58,1,5,1,1,2,3,6,3,8,5,9,3,1,99,4,3,1,4,1,2,4,1,6,12,1,36.04248,Other
R_2dACnjigK3A6lRY,1/31/2022 15:38,24,1,17,1,1,12,93,42,87,-3.188079,Flanker,,,,,0.9533333,0.0266667,0.02,734.84,2,52,1,3,2,2,6,5,6,7,4,4,3,8,3,3,2,1,4,1,2,2,3,2,7,4,3,30.11086,Other
R_21bvwWCXX44qGX0,2/3/2022 17:23,54,1,42,1,1,32,34,64,37,-1.195344,Flanker,,,,,0.8571246,0.0946326,0.0482428,845.0073,2,64,1,3,2,2,5,6,5,4,2,4,4,8,1,2,6,2,1,1,2,2,3,2,8,2,0,37.43787,Random
R_29agNbWaifFHK6T,2/3/2022 20:25,23,1,10,1,1,82,2,63,7,2.280612,Flanker,,,,,0.8587146,0.0942416,0.0470437,839.4983,1,52,1,3,1,1,7,5,6,7,6,6,6,10,4,96,6,6,2,4,3,2,2,5,8,10,3,28.88514,SuspiciousTitForTat
R_bBhrkTK3hHpqvjX,2/2/2022 20:39,100,1,100,1,1,100,38,100,0,2.340878,Flanker,,,,,0.8748872,0.0942857,0.0308271,806.0901,2,37,1,3,1,2,6,1,5,3,5,5,3,7,1,2,5,2,1,2,3,2,5,5,3,2,1,32.21444,TitForTat
R_2c0MhAOSk1rFKUD,2/4/2022 20:47,72,1,64,1,1,63,74,40,35,-3.309626,Flanker,,,,,0.8544583,0.0949167,0.050625,831.7111,1,55,1,2,2,2,6,5,5,6,8,5,2,10,4,97,3,5,4,4,2,2,1,1,7,10,2,32.1884,Random
R_2PzNjHfqipSaaAk,2/3/2022 17:14,79,0,81,1,1,23,64,26,28,2.043291,Flanker,,,,,0.862953,0.0934899,0.043557,836.7,2,75,1,5,1,3,6,5,4,7,6,5,4,4,1,2,2,6,2,1,2,2,2,1,7,7,0,28.18891,Random
R_1lfxQbb990NnOkN,2/2/2022 20:31,0,1,0,0,1,11,80,80,20,0.184323,Flanker,,,,,0.8743511,0.0945038,0.031145,807.8596,2,56,2,4,1,2,8,1,6,6,1,9,2,10,1,3,5,4,1,4,2,2,3,4,7,10,1,23.91156,Other
R_2YIZLaT6uAC5V7Y,2/2/2022 21:17,8,1,2,1,1,93,7,6,31,-1.399099,Flanker,,,,,0.8714942,0.0941379,0.0343678,819.0692,2,64,2,1,1,1,0,6,6,6,8,9,9,10,1,12,4,4,2,2,3,2,3,3,6,5,0,36.17622,StubbornDef
R_2ykpao4zJxWTeEd,2/2/2022 20:54,100,1,15,1,1,22,6,3,55,0.7096196,Flanker,,,,,,,,,2,50,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,Other
R_3NKtEvpiLnso4Gf,2/4/2022 15:06,0,1,0,1,1,0,0,0,0,3.20981,Flanker,,,,,0.8607944,0.0921963,0.0470093,833.6273,1,48,1,4,1,2,2,6,6,3,6,4,3,9,1,2,2,4,1,2,3,1,2,7,6,4,2,27.90737,Defect
R_1jPylJa4DAD1ssp,2/2/2022 21:50,90,1,23,1,1,11,33,88,10,-2.459186,Flanker,,,,,0.8738948,0.0926316,0.0334737,814.9483,2,56,1,2,2,1,10,4,5,6,3,1,6,9,4,97,2,2,1,1,1,2,3,3,6,4,1,21.46438,Other
R_25EOkvEfqBZt3RO,2/3/2022 16:05,0,0,8,1,1,15,13,11,13,-1.952469,Flanker,,,,,0.8696517,0.0944279,0.0359204,825.3264,2,47,1,1,2,3,7,4,7,6,2,2,10,10,4,98,5,1,1,1,2,1,4,1,10,8,0,30.28308,Defect
R_UKND8K7zKI2YSEF,2/3/2022 18:24,43,1,12,1,1,20,18,82,86,-0.9585409,Flanker,,,,,0.8582873,0.0944199,0.0472928,842.5978,1,40,1,2,1,2,2,3,5,4,1,1,8,10,4,4,4,1,2,4,2,2,3,1,6,9,3,22.51119,Other
R_2CV1CKL1DCytnst,2/4/2022 21:15,3,0,4,1,1,98,0,85,2,-3.939356,Flanker,,,,,0.8547193,0.0947609,0.0505197,831.5939,1,46,1,1,2,2,6,5,5,4,1,1,10,9,4,97,3,5,2,1,3,2,3,3,6,6,2,25.0568,SuspiciousTitForTat
R_1CEdpuvlu3d07cG,2/3/2022 16:46,69,0,25,1,1,17,77,27,67,-1.536387,Flanker,,,,,0.8670638,0.0965957,0.0363404,829.9987,2,40,1,2,1,2,7,5,6,6,1,1,10,10,3,97,5,5,2,4,2,2,3,1,7,9,3,30.12259,Random
R_2teOqsW15Vv6UPB,2/2/2022 20:39,77,1,81,1,1,84,77,18,72,-2.006563,Flanker,,,,,0.8746219,0.0952941,0.030084,810.0993,2,54,1,5,2,1,6,5,7,7,10,10,8,10,1,1,4,3,4,4,3,2,1,8,6,6,1,17.06995,Other
R_1l4RoTPOxzUMGzw,2/2/2022 20:39,0,1,100,1,1,100,0,100,0,1.980906,Flanker,,,,,0.8762602,0.0939837,0.0297561,805.3063,1,44,1,5,1,4,3,6,5,2,10,10,3,9,1,98,5,5,1,4,3,2,3,1,8,4,1,30.34153,TitForTat
R_1eLSlyPWmvnvbKt,2/3/2022 17:17,38,1,74,1,1,100,100,100,100,0.8414367,Flanker,,,,,0.8628956,0.093468,0.0436364,837.0358,2,43,1,3,2,2,2,5,7,7,6,4,6,10,4,98,3,2,1,2,1,2,4,4,8,3,0,24.02832,Coop
R_xr5qPNU8axCMNTr,2/2/2022 18:59,82,1,50,0,1,50,17,81,50,-1.83944,Flanker,,,,,0.8879246,0.0811321,0.0309434,829.6555,2,59,1,5,2,4,5,6,7,7,9,8,8,9,1,1,2,2,4,4,3,2,3,1,6,3,1,38.57311,Random
R_28MpE86s8WBKMAr,2/3/2022 16:19,31,1,23,1,0,20,69,33,62,1.149757,Flanker,,,,,0.8706667,0.0931429,0.0361905,825.6937,2,57,1,2,1,1,6,5,5,3,4,2,4,10,1,1,2,6,1,2,2,2,3,1,6,7,2,35.84495,Random
R_pQtwGXLHKBaPeV3,2/2/2022 21:42,81,1,79,1,1,76,73,66,72,-1.200533,Flanker,,,,,0.8743333,0.092,0.0336667,816.1813,2,36,1,1,2,1,3,4,7,5,5,3,10,10,4,97,3,1,2,1,4,2,4,1,6,10,2,26.14463,Random
R_24Ax1nIqtRSKkwE,2/4/2022 15:59,17,1,14,1,1,19,19,17,17,-0.8493289,Flanker,,,,,0.8554607,0.0923146,0.0522247,837.5925,1,41,1,4,2,4,2,3,5,5,7,7,7,9,1,2,2,2,2,4,5,2,3,1,6,4,2,26.62879,Defect
R_1CK0AaLpFIKSIGo,2/4/2022 21:22,19,1,0,1,1,70,26,80,0,2.449667,Flanker,,,,,0.8540249,0.0955187,0.0504564,831.5079,1,47,1,5,1,3,7,5,4,4,7,9,7,6,3,3,6,6,1,2,1,2,2,3,6,15,0,33.19064,SuspiciousTitForTat
R_Dux9d3aZVEVYzyV,2/4/2022 14:37,97,0,97,1,1,100,42,69,75,-1.302725,Flanker,,,,,0.8615828,0.0932854,0.0451319,833.2534,1,36,1,2,2,2,7,5,6,6,3,2,6,9,3,96,5,4,2,2,3,2,3,5,7,6,3,27.79996,BitterCoopCoop
R_25R3zEDbmZiB8MQ,2/2/2022 19:39,100,1,100,0,1,0,100,0,100,1.896198,Flanker,,,,,0.8777465,0.0912676,0.0309859,816.1636,2,35,"1,5",4,2,1,8,7,6,8,8,8,2,10,1,1,5,4,2,4,4,2,3,8,7,2,0,19.93461,Other
R_2EcujojK7YAjEel,2/3/2022 17:41,0,0,0,1,1,0,100,0,0,-3.538032,Flanker,,,,,0.8569753,0.0951852,0.0478395,843.6548,2,40,2,5,2,1,10,7,6,9,9,8,8,10,1,1,5,5,4,4,3,1,1,8,6,13,0,21.13257,SuckerDef
R_2rlrOXTMcZdBH8b,1/31/2022 16:43,50,1,50,1,1,48,48,47,47,-1.44714,Flanker,,,,,0.9191111,0.0528889,0.028,816.3538,1,42,1,2,2,3,6,3,6,6,1,1,3,9,3,96,4,1,4,1,4,2,3,1,6,12,3,35.86735,Random
R_NUtQxvpZLyOZ8Wd,2/3/2022 21:02,100,1,100,1,1,100,76,79,15,-3.227761,Flanker,,,,,0.8591837,0.0937245,0.0470918,839.0351,1,52,1,4,2,1,2,6,7,6,6,6,4,8,1,1,2,3,2,2,4,2,1,1,5,4,2,27.99342,FourteenCoop
R_11bCG8tsN9MW1N9,2/4/2022 14:57,0,1,0,1,1,0,0,0,0,-2.513671,Flanker,,,,,0.860331,0.0926714,0.0469976,833.8673,1,41,"1,8",1,2,1,4,1,6,4,1,1,10,10,4,97,6,6,4,2,2,2,4,6,4,15,2,24.12597,Defect
R_2tl1uCBaC0FwV6l,2/2/2022 20:26,68,0,58,1,0,60,60,59,60,-3.939355,Flanker,,,,,0.8721495,0.0960748,0.0317757,818.9656,1,42,1,4,2,2,8,6,6,7,10,10,8,8,1,3,5,5,2,4,4,2,1,7,7,10,0,23.81592,Random
R_30tTZd5xFrCDPmE,2/3/2022 17:05,85,1,82,1,1,100,18,100,49,-2.411617,Flanker,,,,,0.8649421,0.0952124,0.0398456,832.9836,2,56,7,2,2,1,5,6,6,3,1,1,6,9,1,8,6,2,1,2,2,2,2,1,7,8,2,25.19083,TitForTat
R_1ikWG1YzqXlAdSz,2/3/2022 17:04,,,,,,,,,,,Flanker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2ckHJnttNTVC4b7,2/3/2022 17:41,17,0,14,1,1,11,25,20,20,,Flanker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect
R_274hryXOUr8wEuT,2/2/2022 21:20,50,1,50,1,1,50,50,50,50,-0.9792953,Flanker,,,,,0.8714117,0.0937647,0.0348235,817.1767,2,69,1,3,1,3,7,5,7,7,8,5,3,9,1,3,5,4,2,2,2,2,3,4,8,4,0,21.78719,Random
R_UDWOsydUdb2Psvn,2/3/2022 17:09,100,1,100,1,1,100,100,100,100,1.358194,Flanker,,,,,0.8648375,0.0929242,0.0422383,837.1634,1,61,1,2,1,2,7,6,6,7,3,3,3,10,3,96,5,2,1,4,2,2,1,1,7,4,3,29.8341,Coop
R_11dxhsPVqxKMyCe,2/4/2022 16:43,80,1,89,1,1,100,61,71,49,-1.821642,Flanker,,,,,0.8565487,0.0916814,0.0517699,837.4575,1,37,1,5,2,2,9,6,6,7,10,10,7,9,1,3,2,4,4,1,2,2,2,5,7,8,3,32.58416,Random
R_bx9I8WfpCgK3k1r,2/2/2022 20:16,,,,,,,,,,,Flanker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1k0kvmL1REPdMi2,2/3/2022 16:21,100,1,100,1,1,100,0,100,100,3.093642,Flanker,,,,,0.8709953,0.092891,0.0361137,825.1969,1,40,1,1,1,1,6,5,6,6,1,1,10,10,4,97,5,5,4,4,3,2,3,1,6,10,3,29.53161,BitterCoopCoop
R_2ffFFrGWNrvZUMK,2/3/2022 17:53,0,1,0,1,1,0,0,0,0,-1.971176,Flanker,,,,,0.8571951,0.0954268,0.047378,842.9427,1,36,1,6,2,1,3,1,6,6,8,8,7,9,1,2,2,2,2,4,1,2,2,4,6,8,3,17.03947,Defect
R_3k4zDRjE27MPsjF,2/2/2022 21:00,91,1,94,1,0,97,14,88,85,0.6246136,Flanker,,,,,0.8707976,0.0939877,0.0352147,815.28,2,56,1,3,2,2,6,5,6,7,10,9,10,10,1,4,5,5,4,2,3,2,2,6,6,6,1,30.65861,BitterCoopCoop
R_1IB4IpwzuG6qAxz,2/3/2022 17:15,50,1,50,1,1,51,49,50,50,-0.7353083,Flanker,,,,,0.8658131,0.0927336,0.0414533,833.1417,2,48,2,2,1,1,7,6,7,3,8,4,6,9,1,3,6,5,4,4,1,2,3,1,6,12,0,27.98101,Random
R_24u5pBeCdIUMxY4,2/2/2022 21:44,7,1,0,1,0,87,86,89,93,-1.708046,Flanker,,,,,0.8736082,0.092268,0.0341237,818.886,2,57,1,1,1,2,4,3,7,5,3,3,8,10,3,1,5,6,2,2,2,2,4,3,7,7,2,47.63184,Other
R_33BxadK5F3qLqAM,2/3/2022 16:44,31,1,34,1,1,85,72,30,27,-1.566261,Flanker,,,,,0.8696774,0.0943548,0.0359677,828.5005,2,36,1,2,2,2,5,5,6,5,6,3,7,6,1,2,4,4,2,4,5,2,2,1,7,4,3,29.52051,Random
R_1CeaU7KdBxiDLuT,2/3/2022 16:52,100,1,48,1,1,100,0,0,0,-3.41311,Flanker,,,,,0.8694694,0.0946122,0.0359184,829.5023,1,38,1,1,2,1,6,3,6,8,1,1,10,10,4,97,6,2,4,2,3,2,1,6,6,10,1,22.16251,StubbornDef
R_1f7tH58LWoESZJd,2/2/2022 21:06,77,1,88,1,1,71,100,62,65,-1.236681,Flanker,,,,,0.8693507,0.0938961,0.0367532,817.4738,2,36,1,2,2,3,2,6,7,7,6,2,4,9,2,2,3,2,4,4,2,2,3,6,7,13,3,25.85991,Coop
R_1LONDd7lGIyisgS,2/3/2022 17:29,24,1,67,1,1,91,18,83,18,1.949971,Flanker,,,,,0.8607792,0.0938312,0.0453896,841.3761,2,55,1,1,1,2,5,5,7,3,1,1,8,10,3,99,1,5,1,4,2,1,3,1,11,10,0,66.07788,TitForTat
R_2QQizzn8E3MO5fq,2/3/2022 18:10,56,1,54,1,1,56,42,57,35,2.045438,Flanker,,,,,0.8576602,0.0947632,0.0475766,842.727,2,38,"1,3,9",2,2,2,5,3,6,5,3,2,8,9,3,96,3,2,1,4,3,1,5,1,7,9,3,23.91156,Random
R_2Y5tfZfvNO1bRVM,2/3/2022 18:01,51,1,50,1,0,100,0,100,0,-0.0373352,Flanker,,,,,0.8568769,0.0960961,0.047027,842.6727,1,49,1,6,2,5,1,4,6,7,10,10,10,10,1,99,5,3,4,4,3,2,2,1,6,10,2,53.97261,TitForTat
R_Z9mmnPw8EJbkKSR,2/4/2022 14:49,50,1,50,1,1,92,50,50,0,1.003682,Flanker,,,,,0.8620048,0.0929833,0.0450119,832.0637,1,48,2,3,1,2,5,5,7,7,4,6,10,10,1,2,2,6,4,2,5,2,1,1,7,4,1,22.33784,Random
R_tKXTorYQfyXtHLr,2/3/2022 17:27,100,1,100,1,1,100,100,100,100,2.756045,Flanker,,,,,0.8573248,0.094586,0.0480892,844.7425,2,38,1,4,1,2,0,6,4,4,6,10,10,10,1,2,4,4,2,4,2,2,2,7,8,7,1,25.0568,Coop
R_1mmgGYc0KSyCiip,1/31/2022 16:32,38,0,45,1,1,53,51,24,3,1.438686,Flanker,,,,,0.9194118,0.0482353,0.0323529,832.0259,2,49,1,4,1,2,6,5,7,6,6,4,8,9,1,1,1,4,2,4,2,1,4,1,5,10,0,37.90426,Random
R_3qPOfQyYyq55H32,2/4/2022 15:48,88,1,100,1,1,100,49,100,100,-2.67558,Flanker,,,,,0.8554054,0.0922973,0.0522973,837.7219,1,42,1,3,1,1,8,3,4,3,6,2,8,10,4,97,5,4,1,2,1,1,3,5,6,2,2,23.73167,BitterCoopCoop
R_8J8jDN56xorAzcJ,2/2/2022 20:32,86,1,100,1,1,100,0,100,0,-0.6255981,Flanker,,,,,0.8748214,0.0939286,0.03125,813.298,1,62,1,2,2,1,3,3,7,5,4,4,9,5,4,98,5,6,2,4,1,2,2,1,4,13,3,23.5651,TitForTat
R_2dZv8qynoRUuBSY,2/3/2022 17:28,,,,,,,,,,,Flanker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_065Sn5gM2drdcS5,1/31/2022 16:39,75,1,100,1,1,100,0,100,0,,Flanker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TitForTat
R_3hfhLvhJ1CAf6pA,2/2/2022 20:28,76,0,88,1,1,97,96,96,1,-1.807505,Flanker,,,,,0.8705769,0.0976923,0.0317308,818.7216,2,38,1,2,2,3,4,5,7,8,6,4,7,10,3,96,4,3,4,2,3,2,4,2,7,7,3,27.43572,FourteenCoop
R_1otBjjhSfQLw1oT,2/3/2022 16:52,100,0,0,1,1,100,0,100,0,0.7689503,Flanker,,,,,0.8642023,0.095642,0.0401556,834.3809,2,36,1,4,1,2,3,6,3,5,9,5,8,10,3,96,2,3,1,1,2,2,4,1,10,9,2,21.92471,SuspiciousTitForTat
R_1jYPK4jrL2RyzzL,2/4/2022 14:30,82,1,100,1,1,74,0,98,0,-1.941151,Flanker,,,,,0.8614423,0.0933173,0.0452404,833.9722,1,72,1,3,2,2,6,5,6,6,3,7,4,9,1,3,5,1,1,1,2,2,3,3,7,4,2,24.62062,TitForTat
R_3iqhRkJBfuyVbOQ,2/4/2022 14:26,19,1,63,1,1,72,8,0,0,-2.454186,Flanker,,,,,0.8610169,0.0935593,0.0454237,833.7678,1,38,1,4,2,4,4,6,7,7,10,10,3,9,1,12,5,4,4,4,3,1,4,1,7,8,2,22.37558,Grim
R_3hyJnQoSLopIewh,2/4/2022 15:29,29,0,78,1,1,93,15,70,19,0.9001154,Flanker,,,,,0.8553846,0.0920814,0.0525339,839.2018,1,69,1,2,1,2,6,6,7,7,4,4,9,8,2,96,6,2,2,4,2,2,2,1,6,2,1,37.22973,TitForTat
R_4THKxGqdJtM1OHD,2/4/2022 12:32,50,0,50,1,1,50,50,50,50,-2.101967,Flanker,,,,,0.8597468,0.0934684,0.0467848,838.4178,1,44,1,4,2,2,8,6,6,4,6,6,7,8,1,3,3,1,2,1,4,2,2,2,7,6,0,39.52855,Random
R_2qjusVxyIJtIbyb,2/3/2022 18:15,32,1,12,1,1,66,12,82,8,0.9892475,Flanker,,,,,0.8594334,0.0953541,0.0452125,837.9623,2,55,1,1,2,2,7,6,6,6,2,2,6,8,1,2,3,3,2,1,3,2,2,1,6,12,3,40.23413,SuspiciousTitForTat
R_3p53BXLbjjvb6Bg,2/3/2022 17:58,93,1,98,1,0,84,79,21,71,-3.570731,Flanker,,,,,0.8586087,0.0953623,0.046029,840.3229,2,53,1,2,2,2,6,5,5,4,3,3,7,8,3,96,4,1,1,4,2,1,4,2,7,6,2,29.0783,Other
R_2S0HBASCYf47Z3Q,2/3/2022 18:14,0,1,0,1,1,0,0,0,0,2.737499,Flanker,,,,,0.8587464,0.0957835,0.0454701,838.9281,2,66,1,5,2,2,4,5,6,6,10,10,10,9,1,2,3,2,4,2,3,2,2,1,8,3,0,20.36911,Defect
R_syWucA5Q1deOHV7,2/3/2022 18:14,100,1,100,1,1,100,0,0,0,-2.537452,Flanker,,,,,0.8584571,0.096,0.0455429,838.7303,2,38,1,2,2,4,0,3,7,8,6,2,10,10,2,98,6,6,1,4,1,2,3,5,7,12,3,28.31528,Grim
R_u3oNibZrsuWw1xf,2/3/2022 19:41,38,1,42,1,1,90,26,68,36,1.799648,Flanker,,,,,0.8585864,0.0942932,0.0471204,839.653,1,52,1,4,1,2,6,6,6,6,9,10,4,10,1,1,5,5,2,2,2,2,1,3,8,6,2,25.67568,Random
R_2aQCaZaoale73pt,1/31/2022 16:49,18,1,14,1,1,12,13,13,13,-3.511725,Flanker,,,,,0.9155,0.0535,0.031,829.9595,1,50,1,3,2,1,7,7,7,3,7,9,1,9,1,4,2,3,4,2,3,2,1,8,7,6,2,23.79385,Defect
R_2dWpC4a39hIAEof,2/3/2022 16:43,0,1,0,1,1,0,0,0,0,-3.369647,Flanker,,,,,0.8642688,0.0951779,0.0405534,834.5903,2,67,1,4,2,3,7,4,5,4,8,7,7,6,1,3,5,4,1,4,1,2,2,4,8,2,2,24.26581,Defect
R_1DoQTgTgPXQirXX,2/3/2022 19:05,87,1,70,1,1,100,50,50,32,1.128585,Flanker,,,,,,,,,1,38,"1,2",2,2,2,5,6,5,2,5,4,3,8,4,96,5,5,1,2,2,1,4,2,6,7,1,29.02233,Random
R_1IH3u8eqQqYbkoZ,2/3/2022 19:17,0,0,0,1,1,88,75,0,100,-0.5110844,Flanker,,,,,0.8583854,0.0946354,0.0469792,839.2426,1,64,1,4,2,1,2,5,7,3,8,1,7,10,4,6,2,2,1,4,1,1,1,1,5,4,1,32.27732,Other
R_qIWPXRKWTl50LGp,2/2/2022 20:15,72,1,76,1,1,70,69,68,68,0.8574225,Flanker,,,,,0.8684849,0.0991919,0.0323232,818.0903,2,53,1,2,2,2,3,5,7,6,4,3,7,8,1,9,2,2,2,2,3,2,3,2,8,2,0,35.42454,Random
R_1jMOx8zBYosj3zd,2/3/2022 18:44,0,1,0,1,1,100,0,0,0,-3.046796,Flanker,,,,,0.8574054,0.0941081,0.0484865,842.7534,1,37,"1,5",3,2,2,2,6,6,3,3,1,3,9,3,96,4,3,2,1,3,2,2,7,7,13,2,25.25061,StubbornDef
R_5uUG9CFH9FdZ7IB,2/4/2022 16:41,33,1,29,1,1,79,12,31,10,-0.9395909,Flanker,,,,,0.8558574,0.0921158,0.0520267,837.7315,1,45,1,4,2,4,7,6,7,9,7,8,6,9,1,1,4,4,4,2,4,2,2,1,8,8,3,21.01948,StubbornDef
R_ugLgG6JvsAJm6Ot,2/4/2022 16:33,83,1,81,0,1,,,,,,Flanker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coop
R_2sUavKFiThh8IYM,2/3/2022 16:55,27,1,59,1,1,46,54,46,55,-3.768552,Flanker,,,,,0.865364,0.0947126,0.0399234,832.7292,2,59,1,5,2,3,2,4,6,7,6,10,1,10,1,3,4,3,2,2,2,2,3,8,6,4,3,20.21527,Random
R_2RUDTeAk1u1HAdZ,2/3/2022 19:19,69,1,71,1,1,100,31,55,0,0.7228285,Flanker,,,,,0.85808,0.09408,0.04784,840.645,1,36,1,3,2,2,6,6,7,6,8,5,4,9,3,1,3,5,4,2,6,2,5,6,8,9,3,25.74542,TitForTat
R_1o82UZQFyHyGyoN,2/3/2022 16:17,,,,,,,,,,,Flanker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_22sPo3h1BOvz4hN,2/3/2022 16:51,,,,,,,,,,,Flanker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2dXP4HtoH3gr7Yw,2/4/2022 19:17,28,1,15,1,1,71,70,34,69,-1.835769,Flanker,,,,,0.8557872,0.093617,0.0505957,832.3906,1,37,5,4,1,2,7,5,5,3,7,8,3,9,1,3,6,6,1,2,4,2,2,2,6,2,2,41.81355,Random
R_2rNtfww4OhHtFwP,2/3/2022 17:55,22,1,16,1,1,82,80,24,24,-3.340848,Flanker,,,,,0.8574328,0.0957612,0.046806,841.6489,2,67,1,4,2,2,3,4,4,4,8,7,7,6,2,1,4,3,1,2,1,2,3,1,7,4,0,24.02832,Random
R_24CvSa6e5DqT5tI,2/3/2022 17:50,54,1,45,1,1,41,26,65,22,-3.450038,Flanker,,,,,0.8563746,0.096435,0.0471903,843.255,2,66,1,3,2,2,6,5,7,5,7,8,3,10,1,99,6,6,1,2,1,2,1,1,7,3,0,37.21876,Random
R_dm9pdvShf5QNPCp,2/4/2022 16:32,77,1,80,1,1,95,9,79,0,-3.546702,Flanker,,,,,0.8561778,0.0919111,0.0519111,837.4432,1,41,1,2,1,2,3,4,5,3,2,2,5,10,3,96,4,3,2,2,2,2,4,1,7,14,3,24.36358,TitForTat
R_RE9EbJsgDvfh0K5,2/2/2022 21:08,66,1,70,1,1,10,16,12,24,0.5247082,Flanker,,,,,0.871677,0.0926708,0.0356522,814.6959,2,38,5,3,2,3,3,3,6,5,8,4,4,10,1,4,4,3,2,1,4,2,3,4,7,7,0,37.61593,Other
R_3lAh3QcLMZUyzpU,2/2/2022 20:22,6,1,7,1,1,100,0,0,0,-3.305768,Flanker,,,,,0.8734782,0.0936957,0.0328261,820.9737,2,37,1,4,2,1,8,7,6,8,10,3,9,10,1,1,3,5,4,2,4,2,1,6,7,1,3,20.22915,StubbornDef
R_232yfPOxZ518pC6,2/4/2022 13:00,91,1,0,1,1,91,8,91,23,,Flanker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SuspiciousTitForTat
R_3I5hzBs3Ct0chO4,2/2/2022 20:03,77,1,93,1,1,97,11,92,47,-2.860705,Flanker,,,,,0.8742857,0.0909091,0.0348052,825.9444,2,69,1,5,2,2,4,5,5,4,6,10,9,9,1,3,2,2,1,4,2,2,2,6,7,2,0,22.86025,TitForTat
R_AvsK5Ow17lR2RYR,2/3/2022 17:18,23,0,26,1,1,61,64,55,73,-3.641385,Flanker,,,,,0.8617589,0.0930293,0.0452117,840.9896,2,62,1,5,2,3,6,4,6,5,10,10,9,10,1,3,2,3,2,2,3,2,2,6,8,4,2,22.46272,Random
R_2Y6fFperss0T3mM,2/4/2022 19:40,86,1,86,1,1,100,0,100,0,-3.079381,Flanker,,,,,0.8547034,0.0944068,0.0508898,832.0627,1,43,1,3,2,1,3,5,7,4,6,4,7,9,1,1,3,1,2,4,5,2,1,2,5,11,3,22.23997,TitForTat
R_3e3Sg2N3xbSDAIw,2/2/2022 20:35,100,0,96,0,1,93,77,40,3,4.18082,Flanker,,,,,0.8744828,0.0951724,0.0303448,811.7312,7,41,9,4,1,2,7,5,6,6,8,2,8,7,1,3,4,6,2,2,1,2,3,2,9,8,0,25.06474,FourteenCoop
R_26lQxxirXi0I9yy,2/3/2022 16:52,0,0,0,0,1,100,0,50,0,-0.9996454,Flanker,,,,,0.8653846,0.0948462,0.0397692,833.0964,1,53,1,2,2,4,7,5,5,3,4,2,9,10,3,96,1,5,2,2,1,2,2,3,8,10,2,20.80306,StubbornDef
R_0NbBv6veWXQh3zj,2/2/2022 20:50,19,1,9,1,1,17,79,15,77,-0.9546506,Flanker,,,,,0.874965,0.0932867,0.0317483,810.7078,1,39,1,5,2,2,7,5,5,5,9,6,8,9,1,1,2,2,2,1,4,2,1,4,7,5,1,34.36889,Other
R_1Oq7VOxepjUaWlB,2/4/2022 15:58,66,1,50,1,1,68,23,65,50,-3.822206,Flanker,,,,,0.8554708,0.0924215,0.0521076,837.8801,1,50,1,4,2,2,7,5,6,7,10,10,8,6,1,3,3,2,4,1,7,2,2,2,7,8,1,28.58218,Random
R_31hMPyuWrYvtO5T,2/3/2022 18:18,89,1,89,1,1,100,84,89,82,-1.108913,Flanker,,,,,0.8571815,0.0942547,0.0485637,843.0053,2,63,1,4,1,2,7,6,5,7,8,6,4,8,1,3,4,3,1,1,2,1,4,1,5,11,1,23.40106,Coop
R_3L59sXHicVWjtZG,2/4/2022 15:24,39,0,23,1,1,30,25,43,20,-1.807865,Flanker,,,,,0.8545786,0.0925285,0.0528929,840.0324,1,39,1,1,1,2,6,5,5,5,1,1,10,10,4,97,5,5,2,4,4,2,3,2,6,7,0,33.98329,Random
